 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,30944,2,2,84,284,42,42,42.0,0.0,142,142,142.0,0.0,11892.45088,129.2657704,10314.66667,17782.38829,30848,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,64,64.63288521,64.63288521,42,142,82.0,54.77225575,3000.0,0,0,0,0,0,0,0,0,1,102.5,42.0,142.0,40,0,0,0,0,0,0,2,84,2,284,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6034169,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,1.988674828,0.662891609,2011389.667,3405796.568,5943720,126,6034169,3017084.5,4138887.616,5943720,90449,0,0.0,0.0,0,0,0,0,0,0,72,32,0.497168707,0.165722902,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,5840,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,77770,2,2,74,202,37,37,37.0,0.0,101,101,101.0,0.0,3548.926321,51.4337148,25923.33333,44894.46826,77763,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,25.7168574,25.7168574,37,101,62.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,78.25,37.0,101.0,64,0,0,0,0,0,0,2,74,2,202,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,61224838,17,15,1594,6428,643,0,93.76470588,198.4963883,1460,0,428.5333333,573.9529432,131.0252548,0.522663694,1974994.774,3996322.648,10000000,48,61200000,3826552.375,4972039.719,10100000,1710,61200000,4369585.786,5102019.697,10100000,48,0,0,0,0,352,372,0.277665087,0.244998607,0,1460,243.0909091,440.0397257,193634.9602,0,0,0,1,0,0,0,0,0,250.6875,93.76470588,428.5333333,352,0,0,0,0,0,0,17,1594,15,6428,8192,120,16,20,205610.3333,379941.1799,981162,50394,9998511.5,21625.54461,10000000,9963397,Benign
80,98791811,5,7,337,11595,325,0,67.4,144.0340238,5792,0,1656.428571,2120.732252,120.7792415,0.121467558,8981073.727,29700000.0,98600000,6,98700000,24700000.0,49300000.0,98600000,6,98800000,16500000.0,40300000.0,98600000,45,0,0,0,0,144,232,0.050611482,0.070856075,0,5792,918.3076923,1715.961751,2944524.731,1,0,0,0,0,0,0,0,1,994.8333333,67.4,1656.428571,144,0,0,0,0,0,0,5,337,7,11595,0,235,2,20,13998.0,0.0,13998,13998,98600000.0,0.0,98600000,98600000,DoS
53,286041,2,2,64,454,32,32,32.0,0.0,227,227,227.0,0.0,1810.929202,13.98400929,95347.0,165139.7862,286034,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,80,64,6.992004643,6.992004643,32,227,110.0,106.8058987,11407.5,0,0,0,0,0,0,0,0,1,137.5,32.0,227.0,80,0,0,0,0,0,0,2,64,2,454,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,Benign
47844,48,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20833.33333,20833.33333,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,310,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,194207,7,3,376,3508,201,0,53.71428571,78.68653906,3502,0,1169.333333,2020.150819,19999.27912,51.49144984,21578.55556,24855.58103,55040,17,194207,32367.83333,25184.41744,55040,404,98349,49174.5,63931.64541,94381,3968,0,0,0,0,152,72,36.04401489,15.44743495,0,3502,353.0909091,1046.421565,1094998.091,0,0,0,1,0,0,0,0,0,388.4,53.71428571,1169.333333,152,0,0,0,0,0,0,7,376,3,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,31168,2,2,84,116,42,42,42.0,0.0,58,58,58.0,0.0,6416.837782,128.3367556,10389.33333,17989.65704,31162,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,64.16837782,64.16837782,42,58,48.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,60.5,42.0,58.0,64,0,0,0,0,0,0,2,84,2,116,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,72309,1,1,55,139,55,55,55.0,0.0,139,139,139.0,0.0,2682.930202,27.65907425,72309.0,0.0,72309,72309,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13.82953713,13.82953713,55,139,83.0,48.49742261,2352.0,0,0,0,0,0,0,0,0,1,124.5,55.0,139.0,32,0,0,0,0,0,0,1,55,1,139,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
