 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,385066,1,1,44,60,44,44,44.0,0.0,60,60,60.0,0.0,270.0835701,5.193914809,385066.0,0.0,385066,385066,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,2.596957405,2.596957405,44,60,49.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,74.0,44.0,60.0,32,0,0,0,0,0,0,1,44,1,60,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,117835206,36,46,2680,67775,1565,0,74.44444444,261.7550048,2920,0,1473.369565,998.7227478,597.9112898,0.695887102,1454755.63,9070390.962,58300000,1,118000000,3366720.171,13700000.0,58300000,114,118000000,2613710.267,12200000.0,58500000,4,0,0,0,0,732,932,0.305511411,0.390375691,0,2920,848.8554217,1033.194161,1067490.174,0,0,0,1,0,0,0,0,1,859.2073171,74.44444444,1473.369565,732,0,0,0,0,0,0,36,2680,46,67775,8192,1254,35,20,701395.5,682396.9347,1183923,218868,58100000.0,258025.3858,58300000,57900000,Benign
443,5243757,11,10,3621,4014,1142,0,329.1818182,469.913996,2001,0,401.4,680.8237168,1456.017127,4.004762234,262187.85,622298.6406,1998841,35,3244916,324491.6,640202.2684,1800131,136,5243442,582604.6667,855649.52,1998891,479,0,0,0,0,360,328,2.097732599,1.907029635,0,2001,347.0454545,557.7751277,311113.0931,0,0,0,1,0,0,0,0,0,363.5714286,329.1818182,401.4,360,0,0,0,0,0,0,11,3621,10,4014,29200,8,5,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,86566,1,1,51,67,51,51,51.0,0.0,67,67,67.0,0.0,1363.12178,23.10375898,86566.0,0.0,86566,86566,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11.55187949,11.55187949,51,67,56.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,84.5,51.0,67.0,20,0,0,0,0,0,0,1,51,1,67,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53098,39,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,51282.05128,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,25641.02564,25641.02564,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,340,318,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,5714294,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.099996955,0.699998985,1904764.667,3265347.347,5675196,82,5714294,2857147.0,3985323.115,5675196,39098,0,0.0,0.0,0,0,0,0,0,0,72,32,0.524999239,0.174999746,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
57540,7646,6,15,0,19897,0,0,0.0,0.0,2896,0,1326.466667,1136.570208,2602275.7,2746.534135,382.3,1372.050448,6119,1,6549,1309.8,2873.557325,6450,1,7605,543.2142857,1631.151937,6119,1,0,0,0,0,208,496,784.7240387,1961.810097,0,2896,904.4090909,1122.979992,1261084.063,0,0,0,1,1,0,0,0,2,947.4761905,0.0,1326.466667,208,0,0,0,0,0,0,6,0,15,19897,28960,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,66066,1,1,49,65,49,49,49.0,0.0,65,65,65.0,0.0,1725.54718,30.27275755,66066.0,0.0,66066,66066,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,15.13637877,15.13637877,49,65,54.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,81.5,49.0,65.0,20,0,0,0,0,0,0,1,49,1,65,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,5438543,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.735491105,1812847.667,3119371.764,5414762,56,5438543,2719271.5,3811999.222,5414762,23781,0,0.0,0.0,0,0,0,0,0,0,104,40,0.551618329,0.183872776,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
33244,48,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,64,0,41666.66667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,7987,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
